from,to,dist,convenience
숭실대 정문,문화관,87,316
숭실대 정문,돌계단 입구 안익태기념관 방면,120,283
숭실대 정문,돌계단 입구 경상관 방면,137,266
숭실대 정문,숭실대 중문,400,3
안익태 기념관(카페 요거바라),돌계단 입구 안익태기념관 방면,64,339
안익태 기념관(카페 요거바라),형남공학관 B1출입문,68,335
돌계단 입구 안익태기념관 방면,형남공학관 B1출입문,94,309
문화관,문화관 흡연장,66,337
문화관,경상관 1층,76,327
경상관 1층,문화관 흡연장,32,371
경상관 1층,돌계단 입구 경상관 방면,47,356
경상관 1층,경상관 2층,70,500
돌계단 입구 경상관 방면,돌계단 입구 안익태기념관 방면,88,315
경상관 2층,경상관 앞,35,368
경상관 2층,돌계단 입구 경상관 방면,54,349
경상관 앞,학생회관 1층 출입문_경상관방향,40,363
학생회관 1층 출입문_경상관방향,경상관 뒤쪽 계단,54,349
경상관 앞,경상관 뒤쪽 계단,85,318
경상관 뒤쪽 계단,쓰레기장,117,286
백마관,교육관,93,310
백마관,쓰레기장,113,290
교육관,벤쳐중소기업센터 출입문,74,329
벤쳐중소기업센터 출입문,벤쳐중소기업센터 앞 길,30,373
벤쳐중소기업센터 출입문,벤쳐관 2층 테라스,40,363
벤쳐중소기업센터 출입문,벤쳐관 4층 복도끝,93,310
벤쳐중소기업센터 앞 길,조만식 건물 뛰쪽 길,41,362
벤쳐중소기업센터 앞 길,진리관_학생회관 사이 길,75,328
조만식 건물 뛰쪽 길,숭실대 나무계단,112,291
벤쳐관 2층 테라스,벤쳐관 4층 복도끝,54,349
벤쳐관 2층 테라스,진리관 3층 복도끝,38,365
진리관 3층 복도끝,진리관 1층입구_학생회관방면,64,339
조만식 건물 뛰쪽 길,조만식 건물 뛰쪽 길,0,0
진리관 1층입구_학생회관방면,진리관1층_2,63,340
벤쳐관 4층 복도끝,조만식기념관4층,43,360
조만식기념관4층,조만식기념관1층,28,375
조만식기념관1층,숭실대 나무계단,30,373
숭실대 나무계단,숭실대나무계단 3층,79,324
빨간트럭,숭실대나무계단 3층,61,342
빨간트럭,도서관 흡연장 앞 길,37,366
도서관 흡연장 앞 길,중앙도서관,51,352
중앙도서관,피라미드,65,338
피라미드,미래관,66,337
미래관,전산관 쿱스켓 앞 삼거리,87,316
전산관 쿱스켓 앞 삼거리,연구관 앞 길,67,336
연구관 앞 길,연구관,87,316
전산관 쿱스켓 앞 삼거리,숭실대 전산관,59,344
숭실대 전산관,연구관 앞 길,29,374
연구관 앞 길,기숙사 앞길,65,338
기숙사 앞길,창신관,40,363
창신관,글로벌브레인홀,90,313
글로벌브레인홀,기숙사 앞길,94,309
글로벌브레인홀,레지던스홀 학교밖,142,261
레지던스홀 학교밖,숭실대 후문,232,171
숭실대 후문,창의관,83,320
창의관,정보과학관,122,281
정보과학관,숭실대 후문,186,217
숭실대 후문 앞길,숭실대 후문,33,370
전산관2,숭실대 후문 앞길,91,312
숭실대 후문 앞길,전산관 쿱스켓 앞 삼거리,73,330
숭실대 후문 앞길,농구장,73,330
농구장,미래관쪽 오르막길,61,342
미래관쪽 오르막길,한경직 기념관 방면 길,90,313
한경직 기념관 방면 길,한경직기념관,50,353
한경직기념관,한경직기념관 앞,60,343
한경직기념관 앞,한국기독교박물관,41,362
한경직기념관 앞,기독교박물관 앞 길,50,353
